idx,label,keras_logit,hls_logit,abs_err,rel_err
0,0,-0.9658203125,-0.77734375,0.1884765625,0.19514661274014156
1,0,-4.7265625,-4.6484375,0.078125,0.01652892561983471
2,0,-1.4453125,-1.4296875,0.015625,0.010810810810810811
3,0,-0.80859375,-0.728515625,0.080078125,0.09903381642512077
4,0,-7.630859375,-7.5810546875,0.0498046875,0.006526746864601997
5,0,-2.8291015625,-2.923828125,0.0947265625,0.03348291335864688
6,0,-3.7333984375,-3.849609375,0.1162109375,0.031127386868951085
7,0,-6.4560546875,-6.01171875,0.4443359375,0.06882468612917864
8,0,-8.763671875,-8.6611328125,0.1025390625,0.01170046801872075
9,0,-5.65234375,-5.556640625,0.095703125,0.016931582584657913
10,0,-2.3779296875,-2.2529296875,0.125,0.052566735112936344
11,0,-6.744140625,-6.388671875,0.35546875,0.05270779032725167
12,0,-8.1572265625,-8.07421875,0.0830078125,0.010175984676164252
13,0,-3.75,-3.9638671875,0.2138671875,0.05703125
14,0,-4.18359375,-4.1845703125,0.0009765625,0.00023342670401493932
15,0,-5.33203125,-5.2802734375,0.0517578125,0.009706959706959707
16,0,-8.099609375,-8.015625,0.083984375,0.010368941403424162
17,0,-3.2392578125,-3.037109375,0.2021484375,0.062405788362978595
18,0,-6.1162109375,-6.095703125,0.0205078125,0.0033530257065304166
19,0,-5.1328125,-5.1015625,0.03125,0.0060882800608828
20,0,-3.130859375,-3.09375,0.037109375,0.011852776044915784
21,0,-6.484375,-6.4404296875,0.0439453125,0.00677710843373494
22,0,-10.689453125,-10.7421875,0.052734375,0.004933308971313722
23,0,-3.6083984375,-3.6748046875,0.06640625,0.018403247631935047
24,0,-2.83203125,-2.4345703125,0.3974609375,0.1403448275862069
25,0,-1.75,-1.9169921875,0.1669921875,0.09542410714285714
26,0,-2.7451171875,-2.666015625,0.0791015625,0.0288153681963714
27,0,1.1552734375,1.03515625,0.1201171875,0.10397295012679628
28,0,-0.75,-0.701171875,0.048828125,0.06510416666666667
29,0,-0.9765625,-1.107421875,0.130859375,0.134
30,0,-3.1318359375,-3.3974609375,0.265625,0.08481446835048331
31,0,-2.6044921875,-2.669921875,0.0654296875,0.025121859767529058
32,0,-8.724609375,-8.6474609375,0.0771484375,0.008842623684799641
33,0,1.10546875,1.37890625,0.2734375,0.24734982332155478
34,0,-1.5166015625,-1.55859375,0.0419921875,0.027688345138441726
35,0,-5.3173828125,-5.4453125,0.1279296875,0.024058769513314968
36,0,-1.017578125,-1.0,0.017578125,0.01727447216890595
37,0,5.5546875,5.4365234375,0.1181640625,0.021272855133614627
38,0,-2.28125,-2.2578125,0.0234375,0.010273972602739725
39,0,-4.8671875,-4.69921875,0.16796875,0.03451043338683788
40,0,-4.5791015625,-4.86328125,0.2841796875,0.062060140754958415
41,0,-3.2236328125,-3.029296875,0.1943359375,0.06028476219327476
42,0,1.21484375,1.3017578125,0.0869140625,0.07154340836012862
43,0,3.408203125,3.28515625,0.123046875,0.03610315186246418
44,0,-0.037109375,0.0712890625,0.1083984375,2.9210526315789473
45,0,-1.9453125,-1.958984375,0.013671875,0.007028112449799197
46,0,0.9951171875,1.0283203125,0.033203125,0.033366045142296366
47,0,4.3564453125,4.443359375,0.0869140625,0.01995068370320556
48,0,4.9072265625,4.75,0.1572265625,0.032039800995024875
49,0,-6.0087890625,-6.0322265625,0.0234375,0.0039005363237445147
50,0,-3.3310546875,-3.0029296875,0.328125,0.09850483729111698
51,0,2.6484375,2.5234375,0.125,0.0471976401179941
52,0,-6.236328125,-6.0615234375,0.1748046875,0.028030065768869402
53,0,-4.31640625,-4.2197265625,0.0966796875,0.02239819004524887
54,0,5.5517578125,5.5009765625,0.05078125,0.009146877748460862
55,0,2.23828125,2.57421875,0.3359375,0.15008726003490402
56,0,-7.15234375,-7.0576171875,0.0947265625,0.013244128891316221
57,0,-4.189453125,-4.1533203125,0.0361328125,0.008624708624708625
58,0,-5.560546875,-5.509765625,0.05078125,0.0091324200913242
59,0,-5.4482421875,-5.3896484375,0.05859375,0.01075461552249507
60,0,-4.6689453125,-4.654296875,0.0146484375,0.003137418950010458
61,0,-3.7197265625,-3.6376953125,0.08203125,0.022053032291940142
62,0,-5.0517578125,-5.0908203125,0.0390625,0.007732456988208003
63,0,-3.2998046875,-3.4814453125,0.181640625,0.05504587155963303
64,0,-7.068359375,-6.9560546875,0.1123046875,0.01588836695219674
65,0,-1.00390625,-0.8515625,0.15234375,0.1517509727626459
66,0,-6.455078125,-6.4912109375,0.0361328125,0.0055975794251134645
67,0,-4.384765625,-4.2841796875,0.1005859375,0.022939866369710467
68,0,-3.0439453125,-3.0458984375,0.001953125,0.0006416426050689766
69,0,-5.5849609375,-5.732421875,0.1474609375,0.026403217345689806
70,0,-4.33984375,-4.3125,0.02734375,0.0063006300630063005
71,1,-6.490234375,-6.4736328125,0.0166015625,0.00255792958170328
72,1,-4.083984375,-4.0146484375,0.0693359375,0.016977522716403636
73,1,-0.8701171875,-0.8095703125,0.060546875,0.06958473625140292
74,1,1.1162109375,1.0546875,0.0615234375,0.05511811023622047
75,1,1.984375,2.046875,0.0625,0.031496062992125984
76,1,0.22265625,0.4404296875,0.2177734375,0.9780701754385965
77,1,-0.6728515625,-0.4482421875,0.224609375,0.33381712626995647
78,1,-1.59765625,-1.6279296875,0.0302734375,0.018948655256723717
79,1,4.9716796875,5.037109375,0.0654296875,0.013160479277155765
80,1,-0.9931640625,-0.7783203125,0.21484375,0.21632251720747295
81,1,7.1669921875,7.3486328125,0.181640625,0.025344052323204795
82,1,10.0908203125,10.03515625,0.0556640625,0.0055163069776444406
83,1,5.6103515625,5.822265625,0.2119140625,0.037771975630983466
84,1,6.21484375,6.04296875,0.171875,0.02765556253928347
85,1,12.3818359375,12.4111328125,0.029296875,0.0023661172016720563
86,1,12.2978515625,12.34375,0.0458984375,0.00373223219248789
87,1,9.7294921875,9.7919921875,0.0625,0.006423767941383118
88,1,15.2861328125,15.6328125,0.3466796875,0.02267935858940778
89,1,10.619140625,10.66015625,0.041015625,0.0038624241309545707
90,1,6.6669921875,6.572265625,0.0947265625,0.014208290610810019
91,1,14.9189453125,14.7353515625,0.18359375,0.012306081036852785
92,1,14.60546875,14.5478515625,0.0576171875,0.003944905054827494
93,1,11.859375,11.9580078125,0.0986328125,0.008316864295125164
94,1,1.896484375,1.7470703125,0.1494140625,0.07878475798146241
95,1,11.7470703125,11.7275390625,0.01953125,0.001662648599218555
96,1,3.328125,3.482421875,0.154296875,0.04636150234741784
97,1,7.060546875,7.01171875,0.048828125,0.006915629322268326
98,1,3.8486328125,3.7021484375,0.146484375,0.03806140573458513
99,1,6.66015625,6.4599609375,0.2001953125,0.030058651026392963
100,1,6.0810546875,6.1376953125,0.056640625,0.009314276537658584
101,1,7.0263671875,6.7919921875,0.234375,0.03335649756775538
102,1,8.66015625,8.716796875,0.056640625,0.006540369869192602
103,1,10.455078125,10.6650390625,0.2099609375,0.020082196898935176
104,1,7.4677734375,7.435546875,0.0322265625,0.004315417810906237
105,1,11.1015625,11.09375,0.0078125,0.0007037297677691766
106,1,5.8173828125,5.8466796875,0.029296875,0.005036091992613732
107,1,6.7919921875,6.7880859375,0.00390625,0.0005751258087706686
108,1,10.986328125,10.98828125,0.001953125,0.00017777777777777779
109,1,7.9755859375,7.998046875,0.0224609375,0.0028162115832006855
110,1,5.8564453125,5.7138671875,0.142578125,0.02434550608637652
111,1,3.3623046875,3.41796875,0.0556640625,0.016555329654371186
112,1,5.5498046875,5.5556640625,0.005859375,0.0010557803976772831
113,1,7.1669921875,6.6572265625,0.509765625,0.07112685651996185
114,1,7.0966796875,7.0673828125,0.029296875,0.004128250997660658
115,1,8.5751953125,8.7236328125,0.1484375,0.017310101355198726
116,1,4.2041015625,4.0107421875,0.193359375,0.045993031358885016
117,1,3.1884765625,3.2763671875,0.087890625,0.027565084226646247
118,1,5.25390625,4.9501953125,0.3037109375,0.057806691449814124
119,1,4.5283203125,4.521484375,0.0068359375,0.0015095967220185465
120,1,6.6181640625,6.6787109375,0.060546875,0.009148590821897595
121,1,9.798828125,9.6689453125,0.1298828125,0.013254933227028105
122,1,9.943359375,9.7919921875,0.1513671875,0.015222942447456296
123,1,12.48828125,12.30078125,0.1875,0.015014075695964968
124,1,12.5029296875,12.408203125,0.0947265625,0.007576349293134422
125,1,11.7861328125,12.060546875,0.2744140625,0.023282790620598227
126,1,7.396484375,7.3349609375,0.0615234375,0.00831792975970425
127,1,11.673828125,11.6513671875,0.0224609375,0.0019240421616195415
128,1,7.0634765625,7.33203125,0.2685546875,0.03802018526199364
129,1,8.529296875,8.6650390625,0.1357421875,0.015914815662926494
130,1,7.4033203125,7.2919921875,0.111328125,0.015037593984962405
131,1,0.2900390625,0.201171875,0.0888671875,0.3063973063973064
132,1,6.28125,6.1435546875,0.1376953125,0.021921641791044777
133,1,6.84765625,6.5810546875,0.2666015625,0.03893325727324586
134,1,16.6484375,16.8798828125,0.2314453125,0.013901923979352417
135,1,10.4140625,10.427734375,0.013671875,0.001312828207051763
136,1,7.78125,7.9326171875,0.1513671875,0.01945281124497992
137,1,0.41015625,0.150390625,0.259765625,0.6333333333333333
138,1,19.19140625,19.146484375,0.044921875,0.0023407286790148585
139,1,12.1396484375,12.021484375,0.1181640625,0.009733730190652401
140,1,7.33203125,7.197265625,0.134765625,0.018380394246137452
141,1,18.6796875,18.69921875,0.01953125,0.0010455876202425764
142,1,2.4833984375,2.439453125,0.0439453125,0.017695635076681086
143,1,6.9697265625,6.6845703125,0.28515625,0.040913549110270425
144,1,9.0107421875,9.0908203125,0.080078125,0.008886962176221957
145,1,1.865234375,2.041015625,0.17578125,0.09424083769633508
